gm102b,gm302b,gm502b,gm702b,time(sec)
1.46,1.3,1.14,1.1,0
1.46,1.29,1.14,1.09,1
1.46,1.29,1.13,1.09,2
1.46,1.29,1.13,1.09,3
1.45,1.29,1.13,1.08,4
1.59,1.37,1.22,1.1,5
1.65,1.41,1.29,1.12,6
1.58,1.4,1.29,1.13,7
1.54,1.4,1.29,1.12,8
1.52,1.39,1.29,1.11,9
1.51,1.38,1.29,1.1,10
1.58,1.42,1.32,1.11,11
1.76,1.45,1.36,1.12,12
1.95,1.49,1.42,1.14,13
2.08,1.52,1.47,1.15,14
2.17,1.55,1.52,1.16,15
2.23,1.57,1.55,1.17,16
2.23,1.58,1.57,1.17,17
2.23,1.59,1.6,1.17,18
2.2,1.61,1.61,1.17,19
2.2,1.63,1.63,1.18,20
2.18,1.63,1.64,1.18,21
2.17,1.64,1.65,1.18,22
2.17,1.65,1.66,1.18,23
2.17,1.66,1.67,1.18,24
2.16,1.66,1.68,1.18,25
2.16,1.67,1.69,1.19,26
2.16,1.69,1.7,1.19,27
2.19,1.71,1.71,1.19,28
2.2,1.71,1.73,1.2,29
2.19,1.71,1.73,1.2,30
2.17,1.71,1.73,1.2,31
2.15,1.71,1.73,1.2,32
2.14,1.73,1.74,1.2,33
2.17,1.74,1.75,1.21,34
2.22,1.75,1.78,1.22,35
2.29,1.78,1.8,1.23,36
2.35,1.81,1.83,1.23,37
2.39,1.82,1.86,1.24,38
2.4,1.84,1.87,1.25,39
2.4,1.85,1.89,1.25,40
2.4,1.87,1.9,1.26,41
2.39,1.87,1.91,1.26,42
2.39,1.89,1.91,1.26,43
2.38,1.89,1.93,1.27,44
2.39,1.91,1.93,1.27,45
2.39,1.92,1.94,1.27,46
2.4,1.93,1.96,1.28,47
2.41,1.94,1.96,1.28,48
2.43,1.96,1.97,1.29,49
2.45,1.97,1.99,1.29,50
2.46,1.98,2,1.29,51
2.47,1.99,2.01,1.3,52
2.47,2,2.02,1.3,53
2.48,2.01,2.03,1.3,54
2.48,2.02,2.04,1.3,55
2.48,2.03,2.05,1.3,56
2.49,2.04,2.06,1.31,57
2.49,2.05,2.07,1.31,58
2.49,2.06,2.08,1.32,59
2.5,2.07,2.09,1.32,60
2.51,2.09,2.1,1.32,61
2.51,2.09,2.11,1.33,62
2.52,2.11,2.12,1.33,63
2.53,2.12,2.13,1.34,64
2.54,2.13,2.14,1.34,65
2.55,2.14,2.16,1.34,66
2.56,2.15,2.16,1.35,67
2.57,2.16,2.17,1.35,68
2.58,2.17,2.19,1.36,69
2.59,2.18,2.2,1.36,70
2.6,2.19,2.21,1.37,71
2.6,2.2,2.22,1.37,72
2.61,2.21,2.23,1.37,73
2.61,2.22,2.24,1.37,74
2.62,2.23,2.25,1.38,75
2.62,2.24,2.26,1.38,76
2.63,2.25,2.28,1.38,77
2.64,2.26,2.28,1.39,78
2.64,2.27,2.3,1.39,79
2.65,2.28,2.3,1.39,80
2.65,2.29,2.32,1.4,81
2.66,2.3,2.32,1.4,82
2.66,2.31,2.34,1.4,83
2.67,2.31,2.35,1.4,84
2.67,2.32,2.35,1.41,85
2.68,2.33,2.36,1.41,86
2.68,2.34,2.37,1.41,87
2.69,2.35,2.38,1.41,88
2.69,2.36,2.39,1.41,89
2.69,2.36,2.39,1.41,90
2.69,2.37,2.4,1.41,91
2.7,2.38,2.41,1.42,92
2.71,2.39,2.42,1.42,93
2.71,2.39,2.42,1.42,94
2.71,2.4,2.43,1.42,95
2.72,2.4,2.44,1.42,96
2.72,2.41,2.45,1.42,97
2.72,2.42,2.45,1.43,98
2.72,2.43,2.46,1.43,99
2.73,2.43,2.47,1.43,100
2.73,2.44,2.48,1.43,101
2.74,2.45,2.48,1.43,102
2.74,2.45,2.49,1.43,103
2.74,2.46,2.49,1.44,104
2.75,2.47,2.5,1.43,105
2.75,2.47,2.51,1.43,106
2.75,2.48,2.52,1.43,107
2.75,2.48,2.52,1.43,108
2.76,2.49,2.53,1.43,109
2.76,2.5,2.54,1.43,110
2.76,2.5,2.54,1.43,111
2.76,2.5,2.55,1.44,112
2.76,2.51,2.55,1.43,113
2.77,2.52,2.56,1.44,114
2.77,2.52,2.57,1.44,115
2.78,2.53,2.57,1.44,116
2.78,2.53,2.58,1.44,117
2.78,2.54,2.59,1.44,118
2.78,2.54,2.59,1.44,119
2.79,2.55,2.6,1.44,120
2.79,2.55,2.6,1.44,121
2.79,2.56,2.61,1.44,122
2.79,2.56,2.61,1.44,123
2.79,2.57,2.61,1.44,124
2.8,2.57,2.62,1.45,125
2.8,2.58,2.62,1.45,126
2.8,2.58,2.63,1.44,127
2.8,2.59,2.63,1.45,128
2.8,2.59,2.64,1.45,129
2.81,2.59,2.64,1.45,130
2.81,2.6,2.65,1.45,131
2.81,2.61,2.65,1.45,132
2.82,2.61,2.66,1.45,133
2.82,2.61,2.66,1.45,134
2.82,2.61,2.67,1.45,135
2.82,2.62,2.67,1.45,136
2.83,2.63,2.67,1.45,137
2.83,2.63,2.68,1.45,138
2.83,2.63,2.68,1.45,139
2.83,2.64,2.69,1.45,140
2.83,2.64,2.69,1.45,141
2.83,2.64,2.7,1.45,142
2.84,2.65,2.7,1.45,143
2.84,2.65,2.71,1.46,144
2.84,2.66,2.71,1.45,145
2.84,2.66,2.71,1.46,146
2.84,2.67,2.72,1.46,147
2.85,2.67,2.73,1.46,148
2.85,2.68,2.72,1.46,149
2.85,2.68,2.73,1.46,150
2.85,2.68,2.73,1.46,151
2.86,2.69,2.74,1.46,152
