gm102b,gm302b,gm502b,gm702b,time(sec)
1.58,1.34,1.29,1.23,0
1.59,1.34,1.3,1.22,1
1.58,1.34,1.29,1.22,2
1.58,1.34,1.29,1.22,3
1.58,1.34,1.29,1.22,4
1.58,1.34,1.29,1.21,5
1.57,1.34,1.3,1.21,6
1.58,1.34,1.3,1.22,7
1.59,1.37,1.32,1.27,8
1.69,1.39,1.35,1.35,9
1.82,1.44,1.39,1.49,10
1.98,1.47,1.42,1.62,11
2.1,1.5,1.46,1.72,12
2.2,1.52,1.48,1.77,13
2.25,1.52,1.5,1.79,14
2.29,1.54,1.53,1.81,15
2.35,1.57,1.56,1.84,16
2.39,1.59,1.59,1.88,17
2.43,1.61,1.62,1.91,18
2.47,1.63,1.65,1.94,19
2.5,1.65,1.68,1.96,20
2.52,1.67,1.7,1.99,21
2.55,1.69,1.73,2.04,22
2.58,1.72,1.76,2.08,23
2.61,1.74,1.79,2.11,24
2.64,1.75,1.82,2.12,25
2.65,1.77,1.85,2.13,26
2.65,1.79,1.87,2.14,27
2.66,1.8,1.89,2.15,28
2.67,1.82,1.91,2.16,29
2.67,1.84,1.93,2.17,30
2.68,1.86,1.95,2.2,31
2.69,1.89,1.96,2.22,32
2.71,1.91,1.99,2.24,33
2.74,1.93,2.01,2.27,34
2.78,1.96,2.03,2.31,35
2.8,1.98,2.06,2.34,36
2.83,1.99,2.08,2.37,37
2.83,2.01,2.1,2.39,38
2.84,2.02,2.13,2.4,39
2.85,2.04,2.15,2.41,40
2.85,2.05,2.17,2.43,41
2.85,2.06,2.19,2.43,42
2.85,2.08,2.21,2.43,43
2.86,2.09,2.22,2.44,44
2.87,2.1,2.24,2.44,45
2.87,2.12,2.26,2.44,46
2.87,2.13,2.27,2.44,47
2.88,2.15,2.29,2.45,48
2.88,2.15,2.3,2.45,49
2.88,2.16,2.32,2.45,50
2.87,2.17,2.33,2.44,51
2.87,2.19,2.34,2.44,52
2.88,2.19,2.35,2.44,53
2.88,2.21,2.36,2.44,54
2.88,2.21,2.37,2.45,55
2.88,2.23,2.39,2.46,56
2.89,2.24,2.39,2.47,57
2.89,2.25,2.41,2.48,58
2.91,2.27,2.42,2.5,59
2.92,2.28,2.44,2.52,60
2.92,2.28,2.45,2.52,61
2.92,2.29,2.46,2.52,62
2.92,2.3,2.47,2.52,63
2.93,2.32,2.48,2.54,64
2.94,2.33,2.49,2.55,65
2.95,2.34,2.51,2.56,66
2.95,2.34,2.51,2.57,67
2.95,2.35,2.52,2.57,68
2.94,2.35,2.53,2.57,69
2.93,2.37,2.54,2.57,70
2.93,2.38,2.55,2.56,71
2.94,2.39,2.55,2.56,72
2.95,2.4,2.56,2.57,73
2.96,2.41,2.57,2.59,74
2.97,2.41,2.58,2.6,75
2.98,2.42,2.59,2.61,76
2.98,2.43,2.59,2.61,77
2.97,2.44,2.6,2.61,78
2.97,2.44,2.61,2.61,79
2.96,2.44,2.61,2.61,80
2.96,2.45,2.62,2.61,81
2.96,2.46,2.62,2.61,82
2.96,2.47,2.63,2.62,83
2.97,2.49,2.64,2.62,84
2.99,2.49,2.64,2.63,85
2.99,2.5,2.65,2.62,86
2.99,2.5,2.66,2.62,87
2.99,2.5,2.67,2.61,88
2.98,2.51,2.67,2.61,89
2.98,2.51,2.68,2.61,90
2.98,2.52,2.68,2.6,91
2.98,2.52,2.68,2.6,92
2.97,2.52,2.69,2.59,93
2.96,2.53,2.69,2.59,94
2.96,2.53,2.69,2.59,95
2.96,2.53,2.7,2.59,96
2.97,2.54,2.7,2.59,97
2.97,2.54,2.7,2.6,98
2.97,2.55,2.71,2.6,99
2.97,2.55,2.71,2.61,100
2.98,2.56,2.71,2.6,101
2.98,2.56,2.72,2.6,102
2.97,2.57,2.72,2.59,103
2.97,2.57,2.72,2.6,104
2.97,2.58,2.73,2.61,105
2.98,2.58,2.73,2.61,106
2.98,2.59,2.73,2.61,107
2.99,2.59,2.74,2.61,108
2.99,2.59,2.74,2.61,109
2.99,2.6,2.75,2.61,110
2.98,2.6,2.74,2.61,111
2.99,2.61,2.75,2.6,112
3,2.61,2.75,2.61,113
3,2.61,2.76,2.61,114
2.99,2.61,2.76,2.6,115
2.99,2.62,2.76,2.61,116
2.99,2.62,2.77,2.61,117
2.99,2.62,2.77,2.6,118
2.99,2.62,2.76,2.61,119
2.98,2.62,2.77,2.6,120
2.98,2.62,2.77,2.6,121
2.98,2.62,2.77,2.6,122
2.98,2.63,2.77,2.6,123
2.98,2.63,2.77,2.6,124
2.98,2.64,2.78,2.61,125
2.99,2.65,2.78,2.61,126
3,2.65,2.78,2.62,127
3.01,2.66,2.79,2.63,128
3.01,2.67,2.79,2.64,129
3.02,2.67,2.79,2.65,130
3.03,2.68,2.8,2.65,131
3.04,2.68,2.8,2.66,132
3.03,2.68,2.81,2.65,133
3.03,2.68,2.81,2.65,134
3.02,2.69,2.81,2.65,135
3.02,2.69,2.81,2.64,136
3.01,2.69,2.82,2.64,137
3.02,2.7,2.82,2.64,138
3.01,2.69,2.82,2.64,139
3.01,2.69,2.82,2.64,140
3.01,2.7,2.82,2.64,141
3.01,2.7,2.82,2.64,142
3,2.7,2.83,2.64,143
3.01,2.71,2.83,2.64,144
3.01,2.71,2.83,2.65,145
3.03,2.72,2.83,2.66,146
3.03,2.72,2.83,2.67,147
3.03,2.73,2.83,2.67,148
3.04,2.73,2.84,2.67,149
3.04,2.74,2.84,2.67,150
3.04,2.74,2.85,2.67,151
3.04,2.74,2.85,2.67,152
3.04,2.74,2.85,2.68,153
3.04,2.74,2.85,2.68,154
3.04,2.75,2.85,2.68,155
3.05,2.76,2.86,2.69,156
3.06,2.76,2.86,2.7,157
3.06,2.76,2.87,2.7,158
3.06,2.77,2.87,2.7,159
3.06,2.77,2.87,2.7,160
3.06,2.77,2.87,2.69,161
3.05,2.77,2.88,2.69,162
3.05,2.77,2.87,2.68,163
3.04,2.76,2.87,2.67,164
3.03,2.77,2.88,2.66,165
3.03,2.77,2.87,2.66,166
3.04,2.77,2.87,2.67,167
3.03,2.77,2.88,2.67,168
3.04,2.78,2.88,2.68,169
3.04,2.78,2.88,2.68,170
3.05,2.79,2.88,2.7,171
