gm102b,gm302b,gm502b,gm702b,time(sec)
1.37,1.34,1.21,0.88,0
1.37,1.34,1.21,0.88,1
1.37,1.35,1.21,0.9,2
1.37,1.34,1.21,0.89,3
1.37,1.34,1.21,0.88,4
1.37,1.34,1.21,0.88,5
1.37,1.34,1.21,0.88,6
1.37,1.35,1.21,0.9,7
1.37,1.34,1.21,0.89,8
1.37,1.34,1.21,0.89,9
1.37,1.34,1.21,0.89,10
1.37,1.35,1.21,0.89,11
1.37,1.35,1.21,0.89,12
1.37,1.35,1.21,0.9,13
1.37,1.35,1.21,0.9,14
1.38,1.36,1.22,0.91,15
1.79,1.51,1.35,1.16,16
2.47,1.72,1.6,1.56,17
2.93,1.92,1.88,1.8,18
3.14,2.07,2.13,1.91,19
3.15,2.16,2.28,1.79,20
3.1,2.22,2.35,1.73,21
3.08,2.29,2.42,1.69,22
3.08,2.35,2.48,1.68,23
3.09,2.4,2.54,1.75,24
3.13,2.46,2.62,1.83,25
3.16,2.51,2.71,1.86,26
3.19,2.56,2.79,1.88,27
3.21,2.61,2.84,1.89,28
3.23,2.65,2.9,1.92,29
3.25,2.7,2.95,1.95,30
3.28,2.74,3.01,1.98,31
3.31,2.79,3.05,1.99,32
3.35,2.83,3.1,1.99,33
3.37,2.87,3.14,1.98,34
3.4,2.92,3.16,1.98,35
3.41,2.95,3.19,1.97,36
3.41,2.98,3.21,1.97,37
3.41,3,3.22,1.96,38
3.39,3.01,3.24,1.96,39
3.4,3.04,3.25,2,40
3.46,3.08,3.28,2.06,41
3.5,3.12,3.31,2.07,42
3.51,3.14,3.33,2.04,43
3.48,3.15,3.34,2,44
3.47,3.17,3.34,1.99,45
3.48,3.19,3.34,1.98,46
3.49,3.21,3.35,1.98,47
3.49,3.23,3.35,1.99,48
3.49,3.24,3.35,2,49
3.51,3.26,3.36,2.05,50
3.55,3.28,3.38,2.08,51
3.56,3.29,3.4,2.08,52
3.56,3.3,3.42,2.07,53
3.55,3.32,3.43,2.07,54
3.57,3.34,3.44,2.08,55
3.58,3.35,3.45,2.07,56
3.58,3.35,3.46,2.06,57
3.58,3.36,3.46,2.06,58
3.59,3.38,3.47,2.08,59
3.59,3.39,3.48,2.07,60
3.58,3.39,3.48,2.07,61
3.57,3.39,3.48,2.05,62
3.56,3.39,3.48,2.04,63
3.56,3.4,3.48,2.07,64
3.58,3.42,3.49,2.1,65
3.6,3.44,3.49,2.11,66
3.63,3.45,3.51,2.12,67
3.64,3.46,3.52,2.12,68
3.64,3.47,3.53,2.11,69
3.63,3.47,3.53,2.1,70
3.63,3.48,3.54,2.12,71
3.65,3.49,3.54,2.13,72
3.65,3.49,3.54,2.12,73
3.66,3.5,3.55,2.13,74
3.66,3.51,3.56,2.15,75
3.66,3.51,3.57,2.16,76
3.65,3.51,3.58,2.13,77
3.65,3.52,3.58,2.12,78
3.65,3.52,3.58,2.12,79
3.66,3.53,3.59,2.12,80
3.66,3.53,3.59,2.12,81
3.65,3.53,3.58,2.13,82
3.65,3.54,3.59,2.14,83
3.67,3.54,3.59,2.15,84
3.68,3.55,3.6,2.15,85
3.69,3.56,3.61,2.16,86
3.69,3.57,3.62,2.16,87
3.7,3.58,3.62,2.16,88
3.7,3.58,3.62,2.16,89
3.69,3.58,3.63,2.15,90
3.69,3.58,3.63,2.14,91
3.69,3.59,3.62,2.14,92
3.7,3.59,3.62,2.14,93
3.7,3.6,3.63,2.14,94
3.7,3.6,3.63,2.15,95
3.7,3.6,3.63,2.16,96
3.7,3.61,3.64,2.16,97
3.72,3.62,3.64,2.17,98
3.72,3.62,3.65,2.18,99
3.7,3.62,3.65,2.17,100
3.7,3.62,3.65,2.16,101
3.7,3.62,3.65,2.15,102
3.7,3.62,3.65,2.14,103
3.72,3.64,3.65,2.15,104
3.73,3.64,3.65,2.17,105
3.73,3.64,3.66,2.17,106
3.72,3.64,3.66,2.17,107
3.73,3.65,3.67,2.18,108
3.74,3.66,3.67,2.2,109
3.75,3.66,3.68,2.19,110
3.74,3.66,3.69,2.19,111
3.74,3.66,3.69,2.19,112
3.73,3.66,3.69,2.17,113
3.72,3.65,3.68,2.16,114
3.72,3.65,3.68,2.15,115
3.71,3.65,3.68,2.14,116
3.72,3.65,3.67,2.14,117
3.72,3.66,3.67,2.15,118
3.73,3.66,3.67,2.16,119
3.73,3.66,3.68,2.17,120
3.73,3.67,3.68,2.17,121
3.73,3.67,3.68,2.18,122
3.74,3.67,3.69,2.2,123
3.74,3.67,3.7,2.19,124
3.73,3.67,3.7,2.18,125
3.73,3.67,3.7,2.17,126
3.73,3.68,3.7,2.17,127
3.76,3.69,3.7,2.18,128
3.77,3.69,3.7,2.18,129
3.76,3.69,3.7,2.17,130
3.76,3.69,3.7,2.17,131
3.77,3.7,3.7,2.17,132
3.76,3.7,3.7,2.17,133
3.77,3.7,3.7,2.18,134
3.77,3.7,3.7,2.19,135
3.77,3.7,3.71,2.18,136
3.78,3.71,3.7,2.19,137
3.77,3.71,3.71,2.2,138
3.77,3.71,3.71,2.19,139
3.77,3.71,3.71,2.18,140
3.77,3.71,3.71,2.17,141
3.76,3.71,3.71,2.15,142
3.76,3.71,3.7,2.14,143
3.77,3.71,3.7,2.17,144
3.79,3.72,3.71,2.2,145
3.79,3.72,3.71,2.2,146
3.77,3.71,3.72,2.18,147
3.76,3.71,3.71,2.17,148
3.77,3.72,3.71,2.17,149
3.77,3.72,3.71,2.17,150
3.78,3.72,3.71,2.19,151
3.79,3.72,3.72,2.2,152
3.78,3.72,3.72,2.19,153
3.77,3.72,3.72,2.17,154
3.77,3.72,3.72,2.17,155
3.76,3.71,3.72,2.16,156
3.77,3.73,3.72,2.17,157
3.79,3.73,3.72,2.19,158
3.79,3.73,3.72,2.19,159
3.79,3.73,3.72,2.18,160
3.78,3.73,3.72,2.18,161
3.78,3.73,3.73,2.17,162
3.78,3.73,3.72,2.17,163
3.78,3.73,3.72,2.17,164
3.78,3.73,3.72,2.17,165
3.78,3.73,3.72,2.18,166
