gm102b,gm302b,gm502b,gm702b,time(sec)
1.46,1.31,1.16,1.3,0
1.46,1.31,1.16,1.3,1
1.46,1.31,1.16,1.3,2
1.46,1.32,1.16,1.3,3
1.46,1.31,1.17,1.3,4
1.46,1.31,1.16,1.3,5
1.46,1.31,1.16,1.3,6
1.46,1.31,1.16,1.3,7
1.46,1.31,1.16,1.29,8
1.46,1.31,1.16,1.3,9
1.46,1.31,1.16,1.29,10
1.46,1.31,1.16,1.29,11
1.46,1.31,1.16,1.29,12
1.46,1.31,1.16,1.29,13
1.46,1.31,1.16,1.29,14
1.46,1.31,1.16,1.29,15
1.46,1.31,1.16,1.29,16
1.46,1.31,1.16,1.29,17
1.46,1.31,1.16,1.28,18
1.46,1.31,1.16,1.29,19
1.46,1.31,1.16,1.29,20
1.46,1.31,1.16,1.29,21
1.46,1.31,1.16,1.29,22
1.46,1.31,1.16,1.29,23
1.46,1.31,1.16,1.28,24
1.46,1.31,1.16,1.29,25
1.46,1.31,1.16,1.28,26
1.46,1.31,1.16,1.29,27
1.46,1.31,1.16,1.28,28
1.46,1.31,1.16,1.28,29
1.46,1.31,1.16,1.28,30
1.46,1.31,1.16,1.28,31
1.46,1.31,1.16,1.29,32
1.46,1.31,1.16,1.28,33
1.46,1.31,1.16,1.28,34
1.46,1.31,1.16,1.28,35
1.46,1.31,1.16,1.28,36
1.46,1.31,1.16,1.28,37
1.46,1.31,1.16,1.28,38
1.46,1.31,1.16,1.28,39
1.46,1.31,1.16,1.28,40
1.45,1.31,1.16,1.28,41
1.45,1.31,1.16,1.28,42
1.45,1.31,1.16,1.29,43
1.45,1.32,1.16,1.3,44
1.46,1.32,1.16,1.34,45
1.46,1.32,1.17,1.36,46
1.46,1.32,1.17,1.39,47
1.46,1.32,1.17,1.43,48
1.46,1.32,1.17,1.47,49
1.47,1.33,1.17,1.53,50
1.47,1.35,1.17,1.73,51
1.47,1.36,1.18,1.98,52
1.48,1.37,1.19,2.25,53
1.49,1.39,1.2,2.49,54
1.5,1.4,1.21,2.68,55
1.52,1.4,1.22,2.83,56
1.54,1.42,1.24,2.95,57
1.56,1.42,1.25,3.05,58
1.58,1.44,1.27,3.15,59
1.6,1.45,1.28,3.23,60
1.62,1.46,1.3,3.3,61
1.64,1.47,1.3,3.36,62
1.66,1.48,1.31,3.41,63
1.68,1.49,1.32,3.46,64
1.7,1.5,1.34,3.5,65
1.72,1.51,1.35,3.53,66
1.74,1.51,1.36,3.55,67
1.75,1.51,1.38,3.57,68
1.77,1.52,1.39,3.59,69
1.78,1.53,1.4,3.61,70
1.79,1.53,1.41,3.63,71
1.8,1.54,1.42,3.65,72
1.82,1.54,1.43,3.66,73
1.83,1.55,1.44,3.67,74
1.84,1.56,1.45,3.69,75
1.85,1.57,1.46,3.7,76
1.85,1.58,1.47,3.71,77
1.87,1.58,1.48,3.73,78
1.88,1.59,1.49,3.74,79
1.88,1.59,1.5,3.75,80
1.88,1.57,1.49,3.74,81
1.88,1.56,1.49,3.74,82
1.87,1.56,1.49,3.73,83
1.86,1.56,1.49,3.73,84
1.85,1.56,1.49,3.71,85
1.85,1.56,1.49,3.7,86
1.84,1.56,1.49,3.7,87
1.83,1.55,1.49,3.69,88
1.82,1.56,1.49,3.68,89
1.82,1.56,1.49,3.67,90
1.81,1.56,1.49,3.66,91
1.81,1.56,1.49,3.65,92
1.8,1.56,1.49,3.65,93
